city,country,lat,lon,temp,humidity,cloudiness,wind speed
Rio Grande,BR,-32.03,-52.1,80.11,51,18,10.29
Umluj,SA,25.02,37.27,84.69,69,0,1.79
Oga,IT,46.46,10.35,64.54,63,16,5.82
Wewak,PG,-3.55,143.63,74.59,82,6,4.45
Hirara,JP,24.8,125.28,83.86,82,0,9.51
Nelson Bay,AU,-32.72,152.15,44.67,87,75,1.12
Segezha,RU,63.74,34.32,57.15,88,0,8.5
La Asuncion,VE,11.03,-63.86,89.6,59,91,16.11
Tilichiki,RU,60.47,166.1,48.78,75,16,2.64
Pangkalanbuun,ID,-2.68,111.62,74.37,97,6,2.01
Saint George,US,37.1,-113.58,92.25,9,1,9.17
Fort Nelson,CA,58.81,-122.7,57.2,100,90,5.86
Tasiilaq,GL,65.61,-37.64,50.0,66,75,16.11
Port Lincoln,AU,-34.73,135.87,51.12,68,100,14.61
Solnechnyy,RU,50.72,136.63,47.46,93,100,6.85
Poole,GB,50.72,-2.0,72.41,64,62,5.82
Bayanday,RU,53.07,105.51,54.45,95,100,9.8
La Rioja,ES,42.25,-2.5,93.2,30,90,6.93
Port Alfred,ZA,-33.59,26.89,55.72,77,30,15.64
Esperance,AU,-33.87,121.9,48.2,100,75,6.93
Klyuchi,RU,52.27,79.17,65.89,65,0,3.18
Belaya Gora,RU,68.53,146.42,49.3,84,1,10.4
Petropavlovsk-Kamchatskiy,RU,53.05,158.65,53.6,100,75,2.24
Semey,KZ,50.41,80.23,68.2,48,0,7.56
Vostok,RU,46.49,135.88,53.11,99,100,4.29
Hūn,LY,29.13,15.95,90.73,35,0,23.73
Lukovetskiy,RU,64.3,41.92,57.2,87,40,2.24
Souillac,MU,-20.52,57.52,66.2,77,75,5.82
Bud,US,39.45,-86.18,75.02,50,40,3.56
Pangody,RU,65.85,74.49,63.66,64,0,12.12
Airai,TL,-8.93,125.41,53.13,100,2,1.03
Yar-Sale,RU,66.83,70.83,66.58,65,77,15.17
Awka,NG,6.21,7.07,73.17,80,99,4.18
Athabasca,CA,54.72,-113.29,79.07,55,51,12.5
Dawlatabad,AF,36.41,64.91,77.63,25,0,2.28
Sur,OM,22.57,59.53,89.74,50,100,9.08
Chokurdakh,RU,70.63,147.92,46.27,84,100,12.73
Pangnirtung,CA,66.15,-65.71,50.0,87,40,16.11
Pundaguitan,PH,6.37,126.17,83.12,76,93,9.46
Bāfq,IR,31.61,55.41,89.58,15,43,6.44
Lagoa,PT,39.05,-27.98,72.9,78,19,8.57
Fuling,CN,29.7,107.39,80.49,76,100,4.18
Los Andes,CL,-32.83,-70.6,63.97,59,0,2.24
Hue,VN,16.47,107.6,80.6,88,20,1.12
Pacific Grove,US,36.62,-121.92,60.91,90,79,4.0
Crown Point,US,41.42,-87.37,75.47,53,90,4.7
George Town,MY,5.41,100.34,82.2,83,20,3.36
Mudgere,IN,13.13,75.63,67.28,100,100,8.81
Ahipara,NZ,-35.17,173.17,54.07,81,0,11.05
Port Elizabeth,ZA,-33.92,25.57,53.6,81,9,12.75
Atasū,KZ,48.68,71.64,76.28,30,0,16.35
Gillette,US,44.29,-105.5,81.14,39,1,19.46
Vidim,RU,56.41,103.11,59.88,95,100,3.47
Ružomberok,SK,49.07,19.31,69.17,60,20,2.24
Arlit,NE,18.74,7.39,107.2,10,48,9.4
Hong Kong,HK,22.29,114.16,82.38,83,100,8.99
Kalabo,ZM,-14.97,22.68,67.01,24,0,5.53
Kapaa,US,22.08,-159.32,80.08,83,75,11.41
Shenjiamen,CN,29.96,122.3,80.17,91,100,19.98
Te Anau,NZ,-45.42,167.72,41.4,88,100,1.12
Lompoc,US,34.64,-120.46,63.1,68,3,9.17
Ovalle,CL,-30.6,-71.2,75.85,33,0,2.57
Keffi,NG,8.85,7.87,73.4,94,75,4.7
Mahébourg,MU,-20.41,57.7,66.2,77,75,5.82
Pavlohrad,UA,48.52,35.87,77.0,53,0,8.95
Kloulklubed,PW,7.04,134.26,81.75,77,5,9.28
Ibrā’,OM,22.69,58.53,93.54,31,100,4.47
New Norfolk,AU,-42.78,147.06,31.62,82,0,1.88
Mossamedes,AO,-15.2,12.15,62.28,87,56,6.06
Kungsbacka,SE,57.49,12.08,72.18,60,13,5.82
Moerai,PF,-22.43,-151.33,73.65,86,3,13.78
Yulara,AU,-25.24,130.99,50.0,76,90,16.11
Kaeo,NZ,-35.1,173.78,55.0,3,9,1.99
Porto-Novo,BJ,6.5,2.6,77.0,78,40,13.87
Mago,RU,53.25,140.18,47.05,95,8,3.33
Yangi Marg`ilon,UZ,40.43,71.72,78.8,50,0,2.24
Kruisfontein,ZA,-34.0,24.73,53.01,71,2,9.69
Cidreira,BR,-30.18,-50.21,67.91,58,0,6.73
Hithadhoo,MV,-0.6,73.08,83.16,77,98,13.15
Alofi,NU,-19.06,-169.92,71.6,94,0,1.12
Mosquera,CO,4.71,-74.23,62.6,55,75,18.34
Wajima,JP,37.4,136.9,79.21,84,100,20.85
Salalah,OM,17.02,54.09,80.6,83,100,4.7
Masty,BY,53.41,24.54,63.72,75,90,7.54
Kindu,CD,-2.95,25.95,78.17,57,6,1.77
Northam,GB,51.03,-4.22,68.67,92,63,5.01
Kasongo-Lunda,CD,-6.47,16.82,79.88,35,76,2.04
Makakilo City,US,21.35,-158.09,81.07,69,1,6.93
Namatanai,PG,-3.67,152.43,79.0,77,0,8.03
Spencer,US,43.14,-95.14,78.8,61,40,12.75
Yalvaç,TR,38.3,31.18,73.09,24,1,3.22
Buenos Aires,AR,-34.61,-58.38,59.79,38,99,9.17
Nikolskoye,RU,59.7,30.79,64.02,68,75,2.24
Xining,CN,36.62,101.77,61.84,82,98,2.98
Narsaq,GL,60.92,-46.05,55.4,58,75,13.87
Kautokeino,NO,69.01,23.04,60.73,67,100,10.2
Şabyā,SA,17.15,42.63,78.8,78,40,46.08
Daru,PG,-9.08,143.21,77.13,90,100,6.24
Los Algarrobos,PA,8.5,-82.43,76.84,69,20,3.36
Kushima,JP,31.46,131.23,78.01,88,4,4.0
Dhārchula,IN,29.85,80.53,73.24,74,100,0.43
Coyhaique,CL,-45.58,-72.07,42.8,75,90,5.82
Ilulissat,GL,69.22,-51.1,42.8,87,75,2.24
Mar del Plata,AR,-38.0,-57.56,53.73,50,100,8.05
Taoudenni,ML,22.68,-3.98,107.71,16,17,9.71
Gorontalo,ID,0.54,123.06,74.26,89,43,3.87
Mlonggo,ID,-6.53,110.7,79.48,84,100,2.17
Rodrigues Alves,BR,-7.74,-72.65,93.2,44,75,6.93
Kisesa,TZ,-3.08,34.15,71.08,40,0,8.86
Sonqor,IR,34.78,47.6,84.2,18,0,6.93
Hellvik,NO,59.92,5.78,65.73,87,35,3.24
Corozal,CO,9.32,-75.29,83.43,76,100,3.31
Rangia,IN,26.47,91.63,86.0,100,75,13.73
Chui,UY,-33.7,-53.46,56.17,70,84,12.3
Port-Cartier,CA,50.03,-66.87,66.2,68,75,18.34
Ulladulla,AU,-35.35,150.47,41.2,66,90,6.93
Katsuura,JP,35.13,140.3,78.67,87,0,14.9
Rocha,UY,-34.48,-54.33,54.54,65,95,7.43
Ebbs,AT,47.63,12.22,70.48,75,11,1.3
Kulpahār,IN,25.32,79.65,81.84,81,96,8.81
Camacha,PT,33.08,-16.33,75.2,64,20,10.29
Goundam,ML,16.41,-3.67,93.36,44,40,11.48
San Patricio,MX,19.22,-104.7,91.4,66,20,5.82
Milan,IT,45.46,9.19,82.65,54,0,5.82
Baykit,RU,61.67,96.37,62.67,76,100,4.09
Muroto-misakicho,JP,33.28,134.15,81.73,84,92,14.14
Cap-Chat,CA,49.1,-66.68,64.24,68,34,24.27
Arman',RU,59.7,150.17,55.45,77,55,0.54
Nguru,NG,12.88,10.45,73.02,91,100,18.12
Curup,ID,-3.47,102.53,69.01,93,80,1.68
Hamilton,US,39.18,-84.53,77.32,57,90,6.93
Chapais,CA,49.78,-74.85,69.8,56,75,13.87
Cam Ranh,VN,11.92,109.16,82.4,88,40,2.24
São José da Coroa Grande,BR,-8.9,-35.15,76.35,74,3,14.61
Preston,GB,53.77,-2.72,68.81,82,40,6.93
El Tigre,VE,8.89,-64.25,86.76,60,96,7.7
Dikson,RU,73.51,80.55,47.88,100,100,12.82
Smithers,CA,54.78,-127.17,51.8,93,75,3.36
Mwense,ZM,-10.38,28.7,70.02,26,0,5.68
Ozernovskiy,RU,51.5,156.52,52.74,90,90,2.48
Kudahuvadhoo,MV,2.67,72.89,83.01,76,93,12.1
Bhainsdehi,IN,21.65,77.63,73.33,94,77,9.08
Kumul,CN,42.8,93.45,84.29,18,0,14.52
Perbaungan,ID,3.57,98.96,80.6,88,40,2.24
Arkhangelsk,RU,64.54,40.54,57.2,87,40,2.24
Naze,JP,28.37,129.48,80.6,94,20,3.36
Sulangan,PH,11.14,123.72,83.46,74,100,9.48
Kaitangata,NZ,-46.28,169.85,46.99,79,4,4.7
Tari,NG,12.41,4.49,80.71,70,99,14.7
Bridlington,GB,54.08,-0.19,69.85,64,60,5.82
Nanyuki,KE,0.02,37.07,60.31,80,85,7.2
Ulaangom,MN,49.98,92.07,60.8,47,3,7.58
Narimanov,RU,46.69,47.85,80.22,37,40,6.71
Yei,SS,4.09,30.68,67.8,94,100,1.28
Maceió,BR,-9.67,-35.74,80.6,57,20,10.29
Vardø,NO,70.37,31.11,50.0,93,40,6.93
Boshnyakovo,RU,49.63,142.17,51.48,77,100,5.68
Baijiantan,CN,45.63,85.18,86.92,19,8,15.59
Ledyard Center,US,41.44,-72.01,77.16,57,1,4.7
Saskylakh,RU,71.92,114.08,55.45,82,100,6.91
Iqaluit,CA,63.75,-68.51,60.8,67,75,6.93
Tigil',RU,57.8,158.67,46.58,77,0,4.05
Mezen',RU,65.85,44.24,53.67,91,100,6.55
Bambous Virieux,MU,-20.34,57.76,66.58,77,75,5.82
Departamento de Maldonado,UY,-34.67,-54.92,56.84,71,76,11.41
Thompson,CA,55.74,-97.86,84.2,32,5,10.29
Cabra,ES,37.47,-4.44,96.01,23,0,1.99
Ancud,CL,-41.87,-73.82,48.02,93,90,11.41
Howard,US,39.25,-76.93,82.69,73,16,1.01
Saint Paul Harbor,US,57.79,-152.41,57.2,71,90,11.41
Mabaruma,GY,8.2,-59.78,89.92,55,9,6.51
La Unión,PE,-5.4,-80.75,80.96,39,0,14.52
Cabedelo,BR,-6.98,-34.83,78.8,69,75,16.11
Anloga,GH,5.79,0.9,75.2,83,20,14.99
Juba,SS,4.85,31.58,71.94,89,100,2.77
Saint Anthony,US,45.02,-93.22,75.74,53,90,13.87
Fare,PF,-16.7,-151.02,78.78,78,5,17.67
Awjilah,LY,29.11,21.29,97.59,13,0,10.54
Dolores,AR,-36.31,-57.68,52.38,59,100,3.71
Berck,FR,50.4,1.6,80.6,47,0,8.05
Geraldton,AU,-28.77,114.6,51.8,76,96,11.41
Jalu,LY,29.03,21.55,97.16,13,0,10.29
Palmer,US,42.16,-72.33,79.7,44,75,5.93
Itoman,JP,26.12,127.67,82.27,88,20,3.36
Chagoda,RU,59.16,35.33,59.02,82,100,2.55
São Desidério,BR,-12.36,-44.97,84.07,30,0,10.56
Richards Bay,ZA,-28.78,32.04,62.06,65,100,16.26
Santa Maria,BR,-29.68,-53.81,84.2,39,0,5.82
São João da Barra,BR,-21.64,-41.05,77.0,47,20,13.87
Ratnagiri,IN,16.98,73.3,80.74,84,100,20.76
Bereda,ES,43.27,-7.54,83.53,41,0,3.0
Vestmanna,FO,62.16,-7.17,53.6,100,100,13.87
Kupang,ID,-10.17,123.58,69.78,81,68,7.18
Jutaí,BR,-5.18,-68.9,94.78,33,5,4.32
Fortuna,US,40.6,-124.16,64.29,85,100,1.99
Maragogi,BR,-9.01,-35.22,76.08,74,1,14.07
Yumen,CN,40.28,97.2,74.23,24,86,7.56
Uyar,RU,55.81,94.32,54.66,95,100,8.43
Megion,RU,61.03,76.11,55.4,93,70,4.07
Soyo,AO,-6.13,12.37,72.97,84,1,10.38
Tiznit Province,MA,29.58,-9.5,70.56,71,4,7.23
Portland,US,45.52,-122.68,61.72,93,90,5.82
Port Blair,IN,11.67,92.75,81.75,82,100,11.92
Opuwo,NA,-18.06,13.84,58.5,38,0,3.06
Fukuechō,JP,32.69,128.84,81.99,87,100,13.65
Antalaha,MG,-14.9,50.28,66.22,77,0,8.08
Asău,RO,46.43,26.4,68.0,67,0,5.61
Omboué,GA,-1.57,9.26,75.11,75,100,7.9
Acajutla,SV,13.59,-89.83,81.0,85,100,6.8
Alappuzha,IN,9.49,76.33,79.77,86,99,11.5
Boden,SE,65.83,21.69,62.6,82,6,8.05
Aksha,RU,50.28,113.29,60.01,93,100,2.51
Ponta Delgada,PT,37.73,-25.67,75.2,64,20,8.05
Goderich,CA,43.75,-81.72,72.68,65,27,6.22
Ürümqi,CN,43.8,87.6,80.6,36,0,8.95
Iberia,US,29.95,-91.75,90.25,52,20,7.76
Pyapon,MM,16.28,95.68,79.3,87,99,4.74
Banda Aceh,ID,5.56,95.32,80.38,78,100,6.6
Shimoda,JP,34.67,138.95,72.0,89,7,12.73
Ribeira Grande,PT,38.52,-28.7,77.0,69,40,16.11
San Juan Bautista,PE,-14.01,-75.74,64.72,72,20,10.29
Kolyubakino,RU,55.67,36.53,70.7,60,20,8.95
Muisne,EC,0.6,-80.03,80.6,78,75,9.17
Walvis Bay,NA,-22.96,14.51,57.61,54,0,2.24
Yanji,CN,42.91,129.51,64.33,91,15,2.35
College,US,64.86,-147.8,63.86,55,20,5.82
Selishche,RU,56.89,33.27,59.27,82,88,3.83
Vao,NC,-22.67,167.48,69.8,68,38,8.97
Teya,RU,60.38,92.63,60.39,81,100,2.15
Holbeach,GB,52.8,0.01,77.2,62,85,3.0
Sambava,MG,-14.27,50.17,67.89,76,1,11.81
Moa,CU,20.66,-74.94,87.22,59,0,12.39
Skjervøy,NO,70.03,20.97,59.0,72,75,2.24
Kamenka,RU,51.32,42.77,77.97,62,0,5.99
Bethel,US,41.37,-73.41,76.33,60,1,5.82
Ziyang,CN,29.25,117.85,77.2,90,87,1.43
Sovetskiy,RU,61.36,63.58,63.64,71,0,4.0
Kysyl-Syr,RU,63.9,122.76,57.87,64,0,2.01
Kununurra,AU,-15.77,128.73,69.8,34,26,8.05
Priekule,LV,56.45,21.59,68.0,72,99,4.7
Stephenville,US,32.22,-98.2,95.34,28,1,11.41
Siwāna,IN,25.63,72.42,90.18,60,100,16.35
Yārāda,IN,17.65,83.27,84.2,83,90,9.17
Olafsvik,IS,64.89,-23.71,51.8,81,4,10.63
Tautira,PF,-17.73,-149.15,78.8,69,40,10.29
Bathsheba,BB,13.22,-59.52,87.8,66,40,23.04
Panguna,PG,-6.32,155.48,68.05,94,44,2.04
Marfino,RU,55.7,37.38,70.47,60,20,8.95
Cerro Punta,PA,8.85,-82.57,71.01,66,100,1.43
Binga,ZW,-17.62,27.34,67.44,39,0,3.22
Kisangani,CD,0.52,25.2,77.0,83,83,3.06
Grand Gaube,MU,-20.01,57.66,66.99,71,5,1.99
Komatipoort,ZA,-25.43,31.95,66.06,59,54,8.05
Khilchipur,IN,24.03,76.57,80.01,86,100,10.0
Vila,PT,42.03,-8.16,87.01,41,0,8.01
Victor Harbor,AU,-35.57,138.62,52.0,83,100,1.01
Annau,TM,37.89,58.52,77.0,44,75,13.87
Coquimbo,CL,-29.95,-71.34,57.2,82,20,12.75
Sokoni,TZ,-6.43,39.55,76.39,78,20,3.36
Canavieiras,BR,-15.68,-38.95,70.5,89,100,10.33
Bengkulu,ID,-3.8,102.27,77.31,91,90,4.41
Clyde River,CA,70.47,-68.59,42.8,75,75,27.51
San Sebastian,ES,43.31,-1.98,83.77,62,27,5.82
Kavieng,PG,-2.57,150.8,81.97,79,0,11.79
Ketchikan,US,55.34,-131.65,55.4,87,90,17.22
Hambantota,LK,6.12,81.12,80.47,77,100,17.83
Comodoro Rivadavia,AR,-45.87,-67.5,53.6,34,20,29.97
Yining,CN,29.04,114.56,78.51,86,100,2.75
Necochea,AR,-38.55,-58.74,51.01,70,100,4.0
Kirakira,SB,-10.45,161.92,77.79,80,18,16.24
Kahului,US,20.89,-156.47,78.08,69,20,14.99
Marsh Harbour,BS,26.54,-77.06,84.96,67,14,6.91
Ust-Nera,RU,64.57,143.2,53.96,47,0,4.43
Port Hardy,CA,50.7,-127.42,60.8,72,75,4.7
Nátaga,CO,2.54,-75.81,73.38,49,52,7.2
Eureka,US,40.8,-124.16,63.93,89,100,1.01
Dalvik,IS,65.97,-18.53,62.6,45,20,6.93
Guarapari,BR,-20.67,-40.5,74.17,69,40,10.29
Sistranda,NO,63.73,8.83,62.29,88,75,4.7
Bodmin,GB,50.47,-4.72,65.07,93,92,6.93
Oktyabr'skoye,RU,43.06,44.74,69.4,77,38,8.95
Norman Wells,CA,65.28,-126.83,62.6,72,40,11.41
Faya,SA,18.39,42.45,69.8,88,40,9.17
Birao,CF,10.28,22.79,71.8,92,50,4.09
Lapeer,US,43.05,-83.32,74.95,38,40,5.39
Matagami,CA,49.75,-77.63,73.4,56,40,7.63
Sisimiut,GL,66.94,-53.67,44.06,85,100,4.68
Srednekolymsk,RU,67.45,153.68,54.54,84,15,18.52
Solms,DE,50.77,9.6,77.59,23,40,3.36
Khasan,RU,42.43,130.64,67.44,91,0,2.84
Karaton,ID,-6.34,106.1,80.28,83,20,2.24
Tefé,BR,-3.35,-64.71,87.8,74,40,8.05
Seoul,KR,37.57,126.98,73.4,94,90,4.76
Ţahţā,EG,26.77,31.5,97.66,15,0,9.17
Les Cayes,HT,18.2,-73.75,85.41,70,21,10.58
Piaçabuçu,BR,-10.41,-36.43,76.86,70,0,13.53
Shingū,JP,33.73,135.98,75.69,90,32,5.73
Nchelenge,ZM,-9.35,28.73,70.05,46,0,2.71
São Filipe,CV,14.9,-24.5,79.32,83,76,6.31
Kawalu,ID,-7.38,108.21,68.9,90,41,1.32
Brae,GB,60.4,-1.35,59.0,93,40,9.17
Yeppoon,AU,-23.13,150.73,66.2,82,90,8.05
Deputatsky,RU,69.3,139.9,48.99,96,98,2.64
Porlamar,VE,10.96,-63.85,89.6,59,100,16.11
Biankouma,CI,7.74,-7.61,68.59,87,100,1.9
Kaohsiung City,TW,22.62,120.31,80.8,83,20,4.7
Taltal,CL,-25.4,-70.48,61.74,63,100,3.29
Catemaco,MX,18.42,-95.12,87.8,70,75,11.41
Sahaswān,IN,28.08,78.75,86.72,67,100,15.26
Port Augusta,AU,-32.5,137.77,42.13,76,90,12.75
Sava,IT,40.4,17.56,70.9,83,40,3.36
Solano,US,38.23,-121.95,74.89,53,1,6.93
Sakakah,SA,29.97,40.21,89.6,10,0,9.17
Kondinskoye,RU,59.65,67.41,61.54,74,6,3.71
Burnie,AU,-41.07,145.92,37.99,73,0,1.99
Jūnāgarh,IN,19.87,82.93,78.49,83,90,3.85
Lorengau,PG,-2.02,147.27,79.47,85,100,6.42
Havøysund,NO,71.0,24.66,57.13,81,100,2.24
Farnes,NO,61.32,7.8,60.8,87,40,4.7
Road Town,VG,18.42,-64.62,85.15,62,40,8.05
Egvekinot,RU,66.32,-179.17,41.49,72,54,4.81
Benghazi,LY,32.12,20.07,80.53,76,0,14.81
Senneterre,CA,48.38,-77.23,73.4,49,40,6.93
Karonga,MW,-9.93,33.93,69.71,76,0,3.89
Quatre Cocos,MU,-20.21,57.76,66.61,77,75,5.82
Puerto del Rosario,ES,28.5,-13.86,80.6,57,20,16.11
Nome,US,64.5,-165.41,50.72,87,90,11.41
Nizhniy Kuranakh,RU,58.84,125.49,55.94,60,100,2.77
Voi,KE,-3.39,38.56,68.5,80,5,9.37
Olutanga,PH,7.31,122.85,83.01,77,97,6.26
Gimli,CA,50.63,-96.99,81.72,90,0,7.0
Poum,NC,-20.23,164.02,70.9,73,0,13.35
Mehrān,IR,33.12,46.16,80.6,30,20,4.7
Pakxan,LA,18.38,103.66,76.39,90,100,2.21
Faanui,PF,-16.48,-151.75,78.3,80,23,17.74
Huarmey,PE,-10.07,-78.15,66.88,63,2,10.83
Mayo,US,38.89,-76.51,82.81,70,75,6.93
Cogoleto,IT,44.39,8.64,77.63,78,0,2.24
Palmerston,AU,-12.49,130.98,67.23,88,84,3.36
Isangel,VU,-19.55,169.27,69.8,77,75,3.36
Bykovo,RU,55.64,38.08,70.9,77,0,2.24
Malabo,GQ,3.75,8.78,78.8,83,20,10.29
Innisfail,AU,-17.53,146.03,68.04,88,32,3.85
Chu,KZ,43.6,73.76,83.21,24,0,13.62
Gigmoto,PH,13.78,124.39,79.27,83,100,3.11
Kitami,JP,43.8,143.89,66.29,94,100,4.34
Auki,SB,-8.77,160.7,78.21,86,68,6.15
Colares,PT,38.8,-9.45,78.01,57,20,16.11
Nanortalik,GL,60.14,-45.24,46.81,78,100,5.23
Wagar,SD,16.15,36.2,80.82,63,100,13.38
Meulaboh,ID,4.14,96.13,77.86,87,98,4.47
São Joaquim,BR,-28.29,-49.93,65.64,48,0,2.59
Senanga,ZM,-16.12,23.27,65.68,24,0,4.83
Oranjemund,NA,-28.55,16.43,55.06,62,0,22.37
Turukhansk,RU,65.82,87.98,54.01,80,0,7.0
Verkhnevilyuysk,RU,63.45,120.32,56.08,66,0,2.33
Japura,ID,-0.32,102.35,76.57,91,96,1.36
Biak,ID,-0.91,122.88,75.43,81,75,4.7
Cassilândia,BR,-19.11,-51.73,85.06,21,0,9.62
Kiunga,PG,-6.12,141.29,73.49,98,98,1.21
Mersing,MY,2.43,103.84,73.4,100,100,6.93
Thinadhoo,MV,0.53,72.93,83.19,77,100,14.45
Cayhagan,PH,9.67,122.43,80.6,83,96,5.95
Sittwe,MM,20.15,92.9,79.54,94,100,7.83
Mercedes,AR,-34.65,-59.43,57.67,41,98,3.0
Bugasong,PH,11.04,122.07,79.86,80,100,4.63
Šalčininkai,LT,54.3,25.38,69.8,49,0,5.82
Kuala Terengganu,MY,5.33,103.14,78.4,94,20,3.49
Bilibino,RU,68.05,166.44,46.45,91,100,8.01
Dwārka,IN,22.24,68.97,82.58,88,100,16.17
Kjøpsvik,NO,68.1,16.37,58.12,93,90,31.09
Priozyornoye,UA,45.27,36.33,81.63,56,0,13.65
Talara,PE,-4.58,-81.27,75.2,60,1,14.99
Didsbury,GB,53.42,-2.23,73.18,78,20,4.7
Pitimbu,BR,-7.47,-34.81,78.8,69,75,16.11
Bandarbeyla,SO,9.49,50.81,77.99,77,100,35.37
